"GAME_ID","GAME_DT","GAME_CT","START_GAME_TM","DH_FL","DAYNIGHT_PARK_CD","AWAY_TEAM_ID","HOME_TEAM_ID","PARK_ID","BASE4_UMP_ID","BASE1_UMP_ID","BASE2_UMP_ID","ATTEND_PARK_CT","SCORER_RECORD_ID","METHOD_RECORD_CD","PITCHES_RECORD_CD","TEMP_PARK_CT","WIND_DIRECTION_PARK_CD","WIND_SPEED_PARK_CT","FIELD_PARK_CD","PRECIP_PARK_CD","SKY_PARK_CD","MINUTES_GAME_CT","WIN_PIT_ID","LOSE_PIT_ID","SAVE_PIT_ID"
"DET202007270","20200727",0,710,"T","N","KCA","DET","DET05","lives901","welkb901","hobep901",0,"",0,1,84,4,10,0,1,3,200,"griff001","funkk001",""
"DET202007280","20200728",0,710,"T","N","KCA","DET","DET05","welkb901","hobep901","dejer901",0,"",0,1,85,1,15,0,1,2,145,"alext001","zubet001","jimej003"
"DET202007290","20200729",0,710,"T","N","KCA","DET","DET05","hobep901","dejer901","lives901",0,"",0,1,85,1,8,0,1,1,160,"garcb001","kenni001","jimej003"
"DET202007300","20200730",0,710,"T","N","KCA","DET","DET05","dejer901","lives901","welkb901",0,"",0,1,79,8,5,0,1,1,169,"hollg001","cisnj001","roset001"
"DET202007310","20200731",0,710,"T","N","CIN","DET","DET05","rackd901","vanol901","barkl901",0,"",0,1,81,5,9,0,1,2,151,"turns003","castl003",""
"DET202008021","20200802",1,1210,"T","D","CIN","DET","DET05","vanol901","bacoj901","conrc901",0,"",0,1,72,0,9,0,1,2,145,"igler001","jimej003",""
"DET202008022","20200802",2,333,"T","D","CIN","DET","DET05","barkl901","conrc901","rackd901",0,"",0,1,71,1,11,0,1,3,156,"bauet001","norrd002",""
"DET202008100","20200810",0,710,"T","N","CHA","DET","DET05","iassd901","fleta901","gibsh902",0,"",0,1,87,7,12,0,1,2,167,"norrd002","keucd001",""
"DET202008110","20200811",0,710,"T","N","CHA","DET","DET05","fleta901","gibsh902","barkl901",0,"",0,1,84,1,8,0,1,2,171,"fostm001","alext001",""
"DET202008120","20200812",0,110,"T","D","CHA","DET","DET05","gibsh902","barkl901","iassd901",0,"",0,1,82,4,3,0,1,1,192,"ceasd001","boydm001","coloa001"
"DET202008140","20200814",0,710,"T","N","CLE","DET","DET05","blakr901","diazl901","reybd901",0,"",0,1,81,4,12,0,1,2,175,"civaa001","novai001",""
"DET202008150","20200815",0,610,"T","N","CLE","DET","DET05","diazl901","reybd901","timmt901",0,"",0,1,86,5,7,0,1,2,192,"biebs001","turns003","handb001"
"DET202008160","20200816",0,110,"T","D","CLE","DET","DET05","reybd901","timmt901","blakr901",0,"",0,1,74,5,7,0,1,2,206,"pereo002","schrj001",""
"DET202008240","20200824",0,710,"T","N","CHN","DET","DET05","littw901","lentn901","herna901",0,"",0,1,88,8,9,0,1,1,181,"milla003","mizec001",""
"DET202008250","20200825",0,710,"T","N","CHN","DET","DET05","lentn901","herna901","belld901",0,"",0,1,84,4,7,0,1,2,193,"turns003","chatt001",""
"DET202008260","20200826",0,710,"T","N","CHN","DET","DET05","herna901","belld901","littw901",0,"",0,1,82,8,4,0,1,1,203,"jimej003","teper001",""
"DET202008291","20200829",1,110,"T","D","MIN","DET","DET05","ticht901","ramoc901","kulpr901",0,"",0,1,74,1,16,0,1,2,131,"boydm001","dobnr001",""
"DET202008292","20200829",2,406,"T","D","MIN","DET","DET05","segac901","kulpr901","gonzm901",0,"",0,1,78,1,15,0,1,2,132,"skubt001","dufft001","sotog003"
"DET202008300","20200830",0,110,"T","D","MIN","DET","DET05","kulpr901","gonzm901","ticht901",0,"",0,1,71,3,6,0,1,2,161,"alext001","maedk001","sotog003"
"DET202009042","20200904",2,342,"T","D","MIN","DET","MIN04","segac901","tosia901","gonzm901",0,"",0,1,72,7,10,0,1,2,177,"romos001","jimej003","may-t001"
"DET202009080","20200908",0,710,"T","N","MIL","DET","DET05","belld901","littw901","bacce901",0,"",0,1,63,3,10,0,1,2,185,"turns003","housa001",""
"DET202009090","20200909",0,110,"T","D","MIL","DET","DET05","littw901","bacce901","lentn901",0,"",0,1,66,3,5,0,1,2,184,"burnc002","boydm001",""
"DET202009150","20200915",0,710,"T","N","KCA","DET","DET05","mealj901","hicke901","bakej902",0,"",0,1,67,8,11,0,1,2,207,"boydm001","junij001",""
"DET202009160","20200916",0,710,"T","N","KCA","DET","DET05","hicke901","bakej902","rehaj901",0,"",0,1,75,8,10,0,1,1,153,"singb001","skubt001",""
"DET202009170","20200917",0,710,"T","N","CLE","DET","DET05","timmt901","diazl901","blakr901",0,"",0,1,66,3,10,0,1,1,184,"biebs001","mizec001",""
"DET202009180","20200918",0,710,"T","N","CLE","DET","DET05","diazl901","blakr901","reybd901",0,"",0,1,58,3,12,0,1,1,213,"plesz001","alext001","handb001"
"DET202009190","20200919",0,610,"T","N","CLE","DET","DET05","blakr901","reybd901","timmt901",0,"",0,1,61,0,4,0,1,1,180,"cisnj001","matop002","garcb001"
"DET202009200","20200920",0,110,"T","D","CLE","DET","DET05","reybd901","timmt901","diazl901",0,"",0,1,64,4,9,0,1,1,179,"carrc003","boydm001",""
